index,Medio_Desordenados,Poco_Desordenados,Muy_Desordenados
0,66399,170,79353
1,68092,202045,4535
2,6377,171,32124
3,3788,40550,70195
4,204562,59726,19483
5,33263,172,65243
6,4000,55923,46192
7,66608,34208,9510
8,430,174,30656
9,11122,174,203024
10,69789,200921,55390
11,22890,175,80350
12,674,199191,65379
13,63190,26246,21608
14,46332,177,56907
15,10208,177,1712
16,33383,4043,8126
17,48641,76078,36188
18,1977,27814,200851
19,59164,179,10624
20,20106,48583,11726
21,4635,180,35196
22,48024,204009,55411
23,61411,21391,46087
24,199769,182,41563
25,21312,182,10157
26,29069,183,51277
27,1962,183,66271
28,42176,33623,7597
29,44171,47874,3934
30,11255,185,38328
31,30072,185,40091
32,11953,186,40497
33,55670,34038,59591
34,70707,187,200373
35,12418,187,26882
36,28859,70614,51229
37,4994,188,3709
38,32867,32260,69726
39,201393,203575,59203
40,200084,190,45911
41,10974,19665,40972
42,5135,191,9066
43,49651,69381,2832
44,1123,26916,202080
45,60856,192,3019
46,39842,193,2894
47,200315,193,54709
48,8523,202406,50720
49,66391,194,69106
50,44196,195,74844
51,1803,77443,6981
52,17108,34252,204342
53,32946,204758,202452
54,4269,43533,11216
55,33635,57942,33515
56,73679,39352,59036
57,57785,39175,48085
58,80925,63366,21385
59,48639,32802,203984
60,24517,200,9211
61,7440,74711,54533
62,137797,27902,2802
63,32340,201,3806
64,36862,36827,35975
65,47325,40258,70817
66,47776,208,51034
67,70904,70486,79967
68,49716,2944,50374
69,24431,209,32117
70,40035,199773,12277
71,55697,10034,60929
72,9757,211,2975
73,78217,211,70979
74,61812,212,16675
75,73614,33033,60595
76,46461,68922,48776
77,70994,43593,51703
78,12144,81263,198692
79,6830,214,79444
80,200021,10355,204891
81,9821,215,203791
82,45573,57193,61747
83,45503,33688,48560
84,48485,217,5705
85,203804,2238,77228
86,9025,61942,7095
87,80514,218,9648
88,39172,6199,4662
89,46854,219,3590
90,40543,61657,40415
91,62231,203598,6662
92,38910,222,79673
93,8229,222,32028
94,2350,223,2814
95,36838,40268,36353
96,78790,52213,82971
97,74500,224,52106
98,1353,70756,62198
99,24027,201844,35674
100,44964,203072,202779
101,56430,24897,10597
102,69890,44302,39745
103,36393,198983,66402
104,10772,78176,71158
105,204308,45980,11846
106,30651,229,200748
107,32982,47866,6830
108,60553,11645,46523
109,2056,46830,51594
110,199343,231,24381
111,3000,199603,10078
112,203560,11745,47626
113,55513,232,59604
114,29589,32695,11977
115,65549,45657,35703
116,33956,234,16294
117,60215,49999,199284
118,11340,235,67833
119,39846,6053,43661
120,63024,38026,32059
121,66752,77388,52250
122,10258,237,68757
123,61696,237,57976
124,8351,8702,30719
125,382,55188,44747
126,54129,42314,55064
127,200301,807,6418
128,34906,240,57237
129,66451,50239,58441
130,49067,241,63087
131,38357,648,77988
132,35752,58767,32758
133,43483,60215,2794
134,1049,8958,23922
135,38282,243,78714
136,10356,29024,46455
137,34980,204608,45781
138,58789,69715,24279
139,2509,245,54647
140,18423,54181,83030
141,59363,246,18290
142,204265,50074,8783
143,9229,247,38300
144,43588,248,69602
145,74394,33521,82493
146,72956,28265,46067
147,43569,250,2834
148,70732,251,50807
149,47704,28001,34038
150,33298,63050,45116
151,3432,252,50069
152,23201,49068,50594
153,60803,66536,80698
154,36011,254,33744
155,43568,254,4578
156,38555,44354,202460
157,10021,255,62649
158,35059,50220,51883
159,38035,44428,5528
160,55113,257,1241
161,47951,34217,7220
162,797,52005,34197
163,41436,258,50702
164,36316,12338,204244
165,3423,57063,204464
166,50879,8685,50478
167,34392,44591,32551
168,10120,261,83115
169,36775,65544,61036
170,2126,40562,56032
171,27275,9367,202967
172,10226,69330,54579
173,55970,16336,203317
174,51268,264,44605
175,39222,32691,3247
176,65977,60491,35304
177,7420,78720,201927
178,26468,201789,61120
179,46610,61115,50090
180,11648,199776,22324
181,2554,56809,17371
182,1388,268,55830
183,68953,268,4114
184,11320,10265,43432
185,5533,269,69201
186,48122,270,8438
187,32953,62664,202476
188,38153,41729,204311
189,55569,32050,76198
190,29234,272,662
191,54615,272,2879
192,34531,8870,912
193,62045,273,50359
194,202462,274,6924
195,1232,61371,70196
196,8695,275,63024
