Poco_Desordenados,Medio_Desordenados,Muy_Desordenados
170,170,170
170,170,170
171,171,171
171,171,171
172,172,172
172,172,172
173,173,173
173,173,173
174,174,174
174,174,174
175,175,175
175,175,175
176,176,176
176,176,176
177,177,177
177,177,177
178,178,178
178,178,178
179,179,179
179,179,179
180,180,180
180,180,180
181,181,181
181,181,181
182,182,182
182,182,182
183,183,183
183,183,183
184,184,184
184,184,184
185,185,185
185,185,185
186,186,186
186,186,186
187,187,187
187,187,187
188,188,188
188,188,188
189,189,189
189,189,189
190,190,190
190,190,190
191,191,191
191,191,191
192,192,192
192,192,192
193,193,193
193,193,193
194,194,194
194,194,194
195,195,195
195,195,195
196,196,196
196,196,196
197,197,197
197,197,197
198,198,198
198,198,198
199,199,199
199,199,199
200,200,200
200,200,200
201,201,201
201,201,201
207,207,207
207,207,207
208,208,208
208,208,208
209,209,209
209,209,209
210,210,210
210,210,210
211,211,211
211,211,211
212,212,212
212,212,212
213,213,213
213,213,213
214,214,214
214,214,214
215,215,215
215,215,215
216,216,216
216,216,216
217,217,217
217,217,217
218,218,218
218,218,218
219,219,219
219,219,219
221,221,221
221,221,221
222,222,222
222,222,222
223,223,223
223,223,223
224,224,224
224,224,224
225,225,225
225,225,225
226,226,226
226,226,226
227,227,227
227,227,227
228,228,228
228,228,228
229,229,229
229,229,229
230,230,230
230,230,230
231,231,231
231,231,231
232,232,232
232,232,232
233,233,233
233,233,233
234,234,234
234,234,234
235,235,235
235,235,235
236,236,236
236,236,236
237,237,237
237,237,237
238,238,238
238,238,238
239,239,239
239,239,239
240,240,240
240,240,240
241,241,241
241,241,241
242,242,242
242,242,242
243,243,243
243,243,243
244,244,244
244,244,244
245,245,245
245,245,245
246,246,246
246,246,246
247,247,247
247,247,247
248,248,248
248,248,248
250,250,250
250,250,250
251,251,251
251,251,251
252,252,252
252,252,252
253,253,253
253,253,253
254,254,254
254,254,254
255,255,255
255,255,255
256,256,256
256,256,256
257,257,257
257,257,257
258,258,258
258,258,258
259,259,259
259,259,259
260,260,260
260,260,260
261,261,261
261,261,261
262,262,262
262,262,262
263,263,263
263,263,263
264,264,264
264,264,264
265,265,265
265,265,265
266,266,266
266,266,266
267,267,267
267,267,267
268,268,268
268,268,268
269,269,269
269,269,269
270,270,270
270,270,270
271,271,271
271,271,271
272,272,272
272,272,272
273,273,273
273,273,273
274,274,274
274,274,274
275,275,275
275,275,275
277,277,277
277,277,277
278,278,278
278,278,278
279,279,279
279,279,279
280,280,280
280,280,280
281,281,281
281,281,281
282,282,282
282,282,282
283,283,283
283,283,283
284,284,284
284,284,284
285,285,285
285,285,285
286,286,286
286,286,286
287,287,287
287,287,287
291,291,291
291,291,291
292,292,292
292,292,292
293,293,293
293,293,293
294,294,294
294,294,294
295,295,295
295,295,295
298,298,298
298,298,298
299,299,299
299,299,299
300,300,300
300,300,300
301,301,301
301,301,301
302,302,302
302,302,302
303,303,303
303,303,303
304,304,304
304,304,304
305,305,305
305,305,305
306,306,306
306,306,306
307,307,307
307,307,307
309,309,309
309,309,309
310,310,310
310,310,310
311,311,311
311,311,311
312,312,312
312,312,312
318,318,318
318,318,318
319,319,319
319,319,319
320,320,320
320,320,320
321,321,321
321,321,321
322,322,322
322,322,322
323,323,323
323,323,323
324,324,324
324,324,324
325,325,325
325,325,325
326,326,326
326,326,326
327,327,327
327,327,327
328,328,328
328,328,328
329,329,329
329,329,329
330,330,330
330,330,330
331,331,331
331,331,331
332,332,332
332,332,332
333,333,333
333,333,333
334,334,334
334,334,334
335,335,335
335,335,335
336,336,336
336,336,336
337,337,337
337,337,337
338,338,338
338,338,338
339,339,339
339,339,339
340,340,340
340,340,340
343,343,343
343,343,343
344,344,344
344,344,344
345,345,345
345,345,345
346,346,346
346,346,346
347,347,347
347,347,347
348,348,348
348,348,348
349,349,349
349,349,349
350,350,350
350,350,350
351,351,351
351,351,351
352,352,352
352,352,352
353,353,353
353,353,353
354,354,354
354,354,354
355,355,355
355,355,355
356,356,356
356,356,356
357,357,357
357,357,357
358,358,358
358,358,358
359,359,359
359,359,359
360,360,360
360,360,360
361,361,361
361,361,361
362,362,362
362,362,362
363,363,363
363,363,363
364,364,364
364,364,364
365,365,365
365,365,365
366,366,366
366,366,366
367,367,367
367,367,367
368,368,368
368,368,368
369,369,369
369,369,369
370,370,370
370,370,370
372,372,372
372,372,372
373,373,373
373,373,373
374,374,374
374,374,374
375,375,375
375,375,375
376,376,376
376,376,376
377,377,377
377,377,377
378,378,378
378,378,378
379,379,379
379,379,379
380,380,380
380,380,380
381,381,381
381,381,381
382,382,382
382,382,382
383,383,383
383,383,383
384,384,384
384,384,384
385,385,385
385,385,385
386,386,386
386,386,386
387,387,387
387,387,387
389,389,389
389,389,389
390,390,390
390,390,390
391,391,391
391,391,391
392,392,392
392,392,392
394,394,394
394,394,394
395,395,395
395,395,395
396,396,396
396,396,396
397,397,397
397,397,397
398,398,398
398,398,398
399,399,399
399,399,399
400,400,400
400,400,400
401,401,401
401,401,401
402,402,402
402,402,402
403,403,403
403,403,403
405,405,405
405,405,405
406,406,406
406,406,406
407,407,407
407,407,407
408,408,408
408,408,408
409,409,409
409,409,409
410,410,410
410,410,410
411,411,411
411,411,411
412,412,412
412,412,412
413,413,413
413,413,413
414,414,414
414,414,414
415,415,415
415,415,415
416,416,416
416,416,416
417,417,417
417,417,417
418,418,418
418,418,418
419,419,419
419,419,419
420,420,420
420,420,420
421,421,421
421,421,421
422,422,422
422,422,422
423,423,423
423,423,423
424,424,424
424,424,424
426,426,426
426,426,426
427,427,427
427,427,427
428,428,428
428,428,428
429,429,429
429,429,429
430,430,430
430,430,430
431,431,431
431,431,431
432,432,432
432,432,432
433,433,433
433,433,433
434,434,434
434,434,434
435,435,435
435,435,435
436,436,436
436,436,436
437,437,437
437,437,437
438,438,438
438,438,438
439,439,439
439,439,439
440,440,440
440,440,440
441,441,441
441,441,441
442,442,442
442,442,442
443,443,443
443,443,443
444,444,444
444,444,444
445,445,445
445,445,445
446,446,446
446,446,446
447,447,447
447,447,447
448,448,448
448,448,448
449,449,449
449,449,449
450,450,450
450,450,450
451,451,451
451,451,451
452,452,452
452,452,452
453,453,453
453,453,453
454,454,454
454,454,454
455,455,455
455,455,455
456,456,456
456,456,456
457,457,457
457,457,457
458,458,458
458,458,458
459,459,459
459,459,459
460,460,460
460,460,460
461,461,461
461,461,461
462,462,462
462,462,462
464,464,464
464,464,464
465,465,465
465,465,465
466,466,466
466,466,466
468,468,468
468,468,468
469,469,469
469,469,469
470,470,470
470,470,470
471,471,471
471,471,471
472,472,472
472,472,472
473,473,473
473,473,473
474,474,474
474,474,474
475,475,475
475,475,475
476,476,476
476,476,476
477,477,477
477,477,477
478,478,478
478,478,478
479,479,479
479,479,479
480,480,480
480,480,480
481,481,481
481,481,481
482,482,482
482,482,482
483,483,483
483,483,483
488,488,488
488,488,488
489,489,489
489,489,489
490,490,490
490,490,490
491,491,491
491,491,491
492,492,492
492,492,492
493,493,493
493,493,493
495,495,495
495,495,495
499,499,499
499,499,499
500,500,500
500,500,500
501,501,501
501,501,501
502,502,502
502,502,502
503,503,503
503,503,503
504,504,504
504,504,504
505,505,505
505,505,505
506,506,506
506,506,506
507,507,507
507,507,507
510,510,510
510,510,510
511,511,511
511,511,511
512,512,512
512,512,512
513,513,513
513,513,513
514,514,514
514,514,514
515,515,515
515,515,515
516,516,516
516,516,516
517,517,517
517,517,517
518,518,518
518,518,518
519,519,519
519,519,519
520,520,520
520,520,520
521,521,521
521,521,521
522,522,522
522,522,522
523,523,523
523,523,523
524,524,524
524,524,524
525,525,525
525,525,525
526,526,526
526,526,526
527,527,527
527,527,527
528,528,528
528,528,528
529,529,529
529,529,529
530,530,530
530,530,530
532,532,532
532,532,532
533,533,533
533,533,533
534,534,534
534,534,534
535,535,535
535,535,535
536,536,536
536,536,536
537,537,537
537,537,537
538,538,538
538,538,538
539,539,539
539,539,539
540,540,540
540,540,540
541,541,541
541,541,541
542,542,542
542,542,542
543,543,543
543,543,543
544,544,544
544,544,544
545,545,545
545,545,545
546,546,546
546,546,546
547,547,547
547,547,547
548,548,548
548,548,548
549,549,549
549,549,549
550,550,550
550,550,550
551,551,551
551,551,551
552,552,552
